iter	Passed	Remaining
0	143	142978
1	144	72026
2	145	48321
3	146	36466
4	147	29346
5	148	24594
6	149	21203
7	150	18691
8	151	16729
9	153	15149
10	154	13857
11	155	12796
12	156	11894
13	157	11110
14	158	10428
15	159	9827
16	160	9299
17	161	8829
18	162	8410
19	163	8033
20	165	7694
21	166	7386
22	167	7101
23	168	6840
24	169	6599
25	170	6386
26	171	6195
27	173	6009
28	174	5837
29	175	5672
30	176	5516
31	177	5369
32	178	5230
33	179	5100
34	180	4977
35	181	4862
36	182	4754
37	183	4651
38	185	4560
39	186	4473
40	187	4385
41	188	4299
42	189	4218
43	190	4141
44	191	4067
45	192	3998
46	193	3930
47	194	3865
48	195	3803
49	196	3742
50	197	3684
51	198	3627
52	200	3583
53	201	3534
54	202	3485
55	203	3437
56	204	3389
57	205	3344
58	206	3300
59	207	3258
60	209	3218
61	210	3179
62	211	3141
63	212	3104
64	213	3068
65	214	3035
66	215	3004
67	216	2964
68	217	2931
69	218	2900
70	219	2870
71	220	2843
72	221	2814
73	222	2786
74	223	2758
75	224	2731
76	225	2705
77	226	2678
78	227	2654
79	228	2631
80	230	2613
81	231	2593
82	232	2570
83	233	2548
84	234	2523
85	235	2502
86	236	2478
87	237	2458
88	238	2439
89	239	2420
90	240	2402
91	241	2383
92	242	2365
93	243	2347
94	244	2332
95	245	2315
96	246	2299
97	248	2283
98	249	2266
99	250	2251
100	251	2235
101	251	2216
102	252	2201
103	253	2186
104	254	2172
105	255	2158
106	257	2144
107	258	2131
108	259	2120
109	260	2108
110	261	2095
111	262	2082
112	263	2069
113	264	2057
114	265	2045
115	266	2031
116	267	2020
117	268	2008
118	269	1996
119	270	1984
120	271	1973
121	272	1962
122	273	1949
123	274	1940
124	275	1931
125	277	1921
126	278	1911
127	278	1898
128	279	1889
129	280	1879
130	281	1870
131	283	1861
132	284	1851
133	285	1843
134	286	1834
135	287	1825
136	288	1817
137	289	1808
138	290	1800
139	291	1791
140	292	1783
141	293	1775
142	294	1767
143	295	1759
144	296	1751
145	297	1742
146	298	1735
147	300	1727
148	301	1720
149	302	1712
150	303	1705
151	304	1699
152	305	1692
153	306	1685
154	307	1678
155	308	1671
156	309	1664
157	311	1657
158	312	1652
159	313	1645
160	314	1638
161	315	1632
162	316	1626
163	317	1619
164	318	1614
165	320	1608
166	321	1602
167	322	1595
168	323	1589
169	324	1583
170	325	1577
171	326	1570
172	327	1564
173	328	1558
174	329	1553
175	330	1547
176	331	1541
177	332	1535
178	333	1530
179	334	1525
180	335	1517
181	336	1511
182	337	1505
183	338	1500
184	339	1494
185	340	1488
186	341	1483
187	342	1477
188	343	1472
189	344	1466
190	345	1461
191	346	1456
192	347	1450
193	348	1446
194	349	1441
195	350	1436
196	351	1431
197	352	1426
198	353	1421
199	354	1416
200	355	1411
201	356	1406
202	357	1401
203	358	1397
204	359	1392
205	359	1387
206	360	1382
207	361	1378
208	363	1373
209	364	1370
210	365	1365
211	366	1361
212	367	1356
213	368	1352
214	369	1347
215	370	1343
216	371	1339
217	372	1335
218	373	1331
219	374	1327
220	375	1324
221	376	1319
222	377	1315
223	378	1312
224	379	1308
225	380	1304
226	381	1300
227	382	1295
228	383	1291
229	384	1287
230	385	1283
231	386	1280
232	387	1275
233	388	1272
234	389	1268
235	390	1264
236	391	1260
237	392	1257
238	393	1253
239	394	1250
240	395	1246
241	396	1242
242	397	1238
243	398	1234
244	399	1230
245	400	1226
246	401	1223
247	402	1219
